output_filename,voice_prompt,style_prompt,voice_id,style_id,pitch,speed,loudness,arousal,valence
V0_S0.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, low arousal, negative valence.",V0,S0,low,slow,quiet,low,negative
V0_S1.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, low arousal, neutral valence.",V0,S1,low,slow,quiet,low,neutral
V0_S2.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, low arousal, positive valence.",V0,S2,low,slow,quiet,low,positive
V0_S3.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, neutral arousal, negative valence.",V0,S3,low,slow,quiet,neutral,negative
V0_S4.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, neutral arousal, neutral valence.",V0,S4,low,slow,quiet,neutral,neutral
V0_S5.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, neutral arousal, positive valence.",V0,S5,low,slow,quiet,neutral,positive
V0_S6.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, high arousal, negative valence.",V0,S6,low,slow,quiet,high,negative
V0_S7.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, high arousal, neutral valence.",V0,S7,low,slow,quiet,high,neutral
V0_S8.wav,"Voice: young, male, low pitch.","Style: slow speed, quiet, high arousal, positive valence.",V0,S8,low,slow,quiet,high,positive
V0_S9.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, low arousal, negative valence.",V0,S9,low,slow,normal,low,negative
V0_S10.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, low arousal, neutral valence.",V0,S10,low,slow,normal,low,neutral
V0_S11.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, low arousal, positive valence.",V0,S11,low,slow,normal,low,positive
V0_S12.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, neutral arousal, negative valence.",V0,S12,low,slow,normal,neutral,negative
V0_S13.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, neutral arousal, neutral valence.",V0,S13,low,slow,normal,neutral,neutral
V0_S14.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, neutral arousal, positive valence.",V0,S14,low,slow,normal,neutral,positive
V0_S15.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, high arousal, negative valence.",V0,S15,low,slow,normal,high,negative
V0_S16.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, high arousal, neutral valence.",V0,S16,low,slow,normal,high,neutral
V0_S17.wav,"Voice: young, male, low pitch.","Style: slow speed, normal loudness, high arousal, positive valence.",V0,S17,low,slow,normal,high,positive
V0_S18.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, low arousal, negative valence.",V0,S18,low,slow,loud,low,negative
V0_S19.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, low arousal, neutral valence.",V0,S19,low,slow,loud,low,neutral
V0_S20.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, low arousal, positive valence.",V0,S20,low,slow,loud,low,positive
V0_S21.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, neutral arousal, negative valence.",V0,S21,low,slow,loud,neutral,negative
V0_S22.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, neutral arousal, neutral valence.",V0,S22,low,slow,loud,neutral,neutral
V0_S23.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, neutral arousal, positive valence.",V0,S23,low,slow,loud,neutral,positive
V0_S24.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, high arousal, negative valence.",V0,S24,low,slow,loud,high,negative
V0_S25.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, high arousal, neutral valence.",V0,S25,low,slow,loud,high,neutral
V0_S26.wav,"Voice: young, male, low pitch.","Style: slow speed, loud, high arousal, positive valence.",V0,S26,low,slow,loud,high,positive
V0_S27.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, low arousal, negative valence.",V0,S27,low,normal,quiet,low,negative
V0_S28.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, low arousal, neutral valence.",V0,S28,low,normal,quiet,low,neutral
V0_S29.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, low arousal, positive valence.",V0,S29,low,normal,quiet,low,positive
V0_S30.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, neutral arousal, negative valence.",V0,S30,low,normal,quiet,neutral,negative
V0_S31.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, neutral arousal, neutral valence.",V0,S31,low,normal,quiet,neutral,neutral
V0_S32.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, neutral arousal, positive valence.",V0,S32,low,normal,quiet,neutral,positive
V0_S33.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, high arousal, negative valence.",V0,S33,low,normal,quiet,high,negative
V0_S34.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, high arousal, neutral valence.",V0,S34,low,normal,quiet,high,neutral
V0_S35.wav,"Voice: young, male, low pitch.","Style: normal speed, quiet, high arousal, positive valence.",V0,S35,low,normal,quiet,high,positive
V0_S36.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, low arousal, negative valence.",V0,S36,low,normal,normal,low,negative
V0_S37.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, low arousal, neutral valence.",V0,S37,low,normal,normal,low,neutral
V0_S38.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, low arousal, positive valence.",V0,S38,low,normal,normal,low,positive
V0_S39.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, neutral arousal, negative valence.",V0,S39,low,normal,normal,neutral,negative
V0_S40.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, neutral arousal, neutral valence.",V0,S40,low,normal,normal,neutral,neutral
V0_S41.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, neutral arousal, positive valence.",V0,S41,low,normal,normal,neutral,positive
V0_S42.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, high arousal, negative valence.",V0,S42,low,normal,normal,high,negative
V0_S43.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, high arousal, neutral valence.",V0,S43,low,normal,normal,high,neutral
V0_S44.wav,"Voice: young, male, low pitch.","Style: normal speed, normal loudness, high arousal, positive valence.",V0,S44,low,normal,normal,high,positive
V0_S45.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, low arousal, negative valence.",V0,S45,low,normal,loud,low,negative
V0_S46.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, low arousal, neutral valence.",V0,S46,low,normal,loud,low,neutral
V0_S47.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, low arousal, positive valence.",V0,S47,low,normal,loud,low,positive
V0_S48.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, neutral arousal, negative valence.",V0,S48,low,normal,loud,neutral,negative
V0_S49.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, neutral arousal, neutral valence.",V0,S49,low,normal,loud,neutral,neutral
V0_S50.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, neutral arousal, positive valence.",V0,S50,low,normal,loud,neutral,positive
V0_S51.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, high arousal, negative valence.",V0,S51,low,normal,loud,high,negative
V0_S52.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, high arousal, neutral valence.",V0,S52,low,normal,loud,high,neutral
V0_S53.wav,"Voice: young, male, low pitch.","Style: normal speed, loud, high arousal, positive valence.",V0,S53,low,normal,loud,high,positive
V0_S54.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, low arousal, negative valence.",V0,S54,low,fast,quiet,low,negative
V0_S55.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, low arousal, neutral valence.",V0,S55,low,fast,quiet,low,neutral
V0_S56.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, low arousal, positive valence.",V0,S56,low,fast,quiet,low,positive
V0_S57.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, neutral arousal, negative valence.",V0,S57,low,fast,quiet,neutral,negative
V0_S58.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, neutral arousal, neutral valence.",V0,S58,low,fast,quiet,neutral,neutral
V0_S59.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, neutral arousal, positive valence.",V0,S59,low,fast,quiet,neutral,positive
V0_S60.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, high arousal, negative valence.",V0,S60,low,fast,quiet,high,negative
V0_S61.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, high arousal, neutral valence.",V0,S61,low,fast,quiet,high,neutral
V0_S62.wav,"Voice: young, male, low pitch.","Style: fast speed, quiet, high arousal, positive valence.",V0,S62,low,fast,quiet,high,positive
V0_S63.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, low arousal, negative valence.",V0,S63,low,fast,normal,low,negative
V0_S64.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, low arousal, neutral valence.",V0,S64,low,fast,normal,low,neutral
V0_S65.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, low arousal, positive valence.",V0,S65,low,fast,normal,low,positive
V0_S66.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, neutral arousal, negative valence.",V0,S66,low,fast,normal,neutral,negative
V0_S67.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, neutral arousal, neutral valence.",V0,S67,low,fast,normal,neutral,neutral
V0_S68.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, neutral arousal, positive valence.",V0,S68,low,fast,normal,neutral,positive
V0_S69.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, high arousal, negative valence.",V0,S69,low,fast,normal,high,negative
V0_S70.wav,"Voice: young, male, low pitch.","Style: fast speed, normal loudness, high arousal, neutral valence.",V0,S70,low,fast,normal,high,neutral
